MoleculeType,Identifier,MoleculeName
Proteins,Q13315,UniProt:Q13315 ATM
Proteins,P04637,UniProt:P04637 TP53
Proteins,P46527,UniProt:P46527 CDKN1B
Proteins,P38936,UniProt:P38936 CDKN1A
Proteins,P20248,UniProt:P20248 CCNA2
Proteins,P78396,UniProt:P78396 CCNA1
Proteins,P24941,UniProt:P24941 CDK2
Proteins,P49959,UniProt:P49959 MRE11
Proteins,Q92878,UniProt:Q92878 RAD50
Proteins,O60934,UniProt:O60934 NBN
Proteins,Q92993,UniProt:Q92993 KAT5
Proteins,P24864,UniProt:P24864 CCNE1
Proteins,O96020,UniProt:O96020 CCNE2
Proteins,Q96L91,UniProt:Q96L91 EP400
Proteins,Q9BSI4,UniProt:Q9BSI4 TINF2
Proteins,Q9NUX5,UniProt:Q9NUX5 POT1
Proteins,P54274,UniProt:P54274 TERF1
Proteins,Q9NYB0,UniProt:Q9NYB0 TERF2IP
Proteins,Q96AP0,UniProt:Q96AP0 ACD
Proteins,Q15554,UniProt:Q15554 TERF2
Proteins,Q99879,UniProt:Q99879 H2BC14
Proteins,Q96A08,UniProt:Q96A08 H2BC1
Proteins,P58876,UniProt:P58876 H2BC5
Proteins,Q93079,UniProt:Q93079 H2BC9
Proteins,Q16778,UniProt:Q16778 H2BC21
Proteins,P23527,UniProt:P23527 H2BC17
Proteins,P57053,UniProt:P57053 H2BC12L
Proteins,Q99877,UniProt:Q99877 H2BC15
Proteins,P62807,UniProt:P62807 H2BC4
Proteins,P06899,UniProt:P06899 H2BC11
Proteins,P33778,UniProt:P33778 H2BC3
Proteins,O60814,UniProt:O60814 H2BC12
Proteins,Q99880,UniProt:Q99880 H2BC13
Proteins,Q8N257,UniProt:Q8N257 H2BC26
Proteins,Q16695,UniProt:Q16695 H3-4
Proteins,P0C5Y9,UniProt:P0C5Y9 H2AB1
Proteins,Q71UI9,UniProt:Q71UI9 H2AZ2
Proteins,P20671,UniProt:P20671 H2AC7
Proteins,P16104,UniProt:P16104 H2AX
Proteins,Q9BTM1,UniProt:Q9BTM1 H2AJ
Proteins,Q16777,UniProt:Q16777 H2AC20
Proteins,Q93077,UniProt:Q93077 H2AC6
Proteins,P04908,UniProt:P04908 H2AC4
Proteins,Q6FI13,UniProt:Q6FI13 H2AC18
Proteins,Q99878,UniProt:Q99878 H2AC14
Proteins,P62805,UniProt:P62805 H4C1
Proteins,P54198,UniProt:P54198 HIRA
Proteins,Q9NPG3,UniProt:Q9NPG3 UBN1
Proteins,Q9Y6J0,UniProt:Q9Y6J0 CABIN1
Proteins,Q9Y294,UniProt:Q9Y294 ASF1A
Proteins,P17096,UniProt:P17096 HMGA1
Proteins,P10412,UniProt:P10412 H1-4
Proteins,P16401,UniProt:P16401 H1-5
Proteins,P16403,UniProt:P16403 H1-2
Proteins,P16402,UniProt:P16402 H1-3
Proteins,Q02539,UniProt:Q02539 H1-1
Proteins,P07305,UniProt:P07305 H1-0
Proteins,P52926,UniProt:P52926 HMGA2
Proteins,P20700,UniProt:P20700 LMNB1
Proteins,P06400,UniProt:P06400 RB1
Proteins,P15036,UniProt:P15036 ETS2
Proteins,P41134,UniProt:P41134 ID1
Proteins,Q8N726,UniProt:Q8N726 CDKN2A
Proteins,P14921,UniProt:P14921 ETS1
Proteins,Q14209,UniProt:Q14209 E2F2
Proteins,Q01094,UniProt:Q01094 E2F1
Proteins,O00716,UniProt:O00716 E2F3
Proteins,Q14188,UniProt:Q14188 TFDP2
Proteins,Q14186,UniProt:Q14186 TFDP1
Proteins,P08047,UniProt:P08047 SP1
Proteins,P28482,UniProt:P28482 MAPK1
Proteins,P27361,UniProt:P27361 MAPK3
Proteins,P50548,UniProt:P50548 ERF
Proteins,Q9UL18,UniProt:Q9UL18 AGO1
Proteins,Q9HCK5,UniProt:Q9HCK5 AGO4
Proteins,Q9H9G7,UniProt:Q9H9G7 AGO3
Proteins,Q8NDV7,UniProt:Q8NDV7 TNRC6A
Proteins,Q9UPQ9,UniProt:Q9UPQ9 TNRC6B
Proteins,Q9HCJ0,UniProt:Q9HCJ0 TNRC6C
Proteins,Q9HCE1,UniProt:Q9HCE1 MOV10
Proteins,P42771,UniProt:P42771 CDKN2A
Proteins,Q00987,UniProt:Q00987 MDM2
Proteins,O15151,UniProt:O15151 MDM4
Proteins,P0CG48,UniProt:P0CG48 UBC
Proteins,P0CG47,UniProt:P0CG47 UBB
Proteins,P62987,UniProt:P62987 UBA52
Proteins,P62979,UniProt:P62979 RPS27A
Proteins,Q00534,UniProt:Q00534 CDK6
Proteins,P11802,UniProt:P11802 CDK4
Proteins,P55273,UniProt:P55273 CDKN2D
Proteins,P42772,UniProt:P42772 CDKN2B
Proteins,P42773,UniProt:P42773 CDKN2C
Proteins,P17676,UniProt:P17676 CEBPB
Proteins,Q9UM11,UniProt:Q9UM11 FZR1
Proteins,Q9UJX5,UniProt:Q9UJX5 ANAPC4
Proteins,Q13042,UniProt:Q13042 CDC16
Proteins,Q8NHZ8,UniProt:Q8NHZ8 CDC26
Proteins,Q9H1A4,UniProt:Q9H1A4 ANAPC1
Proteins,Q9UJX4,UniProt:Q9UJX4 ANAPC5
Proteins,P51965,UniProt:P51965 UBE2E1
Proteins,O00762,UniProt:O00762 UBE2C
Proteins,Q9NYG5,UniProt:Q9NYG5 ANAPC11
Proteins,Q16763,UniProt:Q16763 UBE2S
Proteins,Q9UJX2,UniProt:Q9UJX2 CDC23
Proteins,Q96DE5,UniProt:Q96DE5 ANAPC16
Proteins,P51668,UniProt:P51668 UBE2D1
Proteins,P60006,UniProt:P60006 ANAPC15
Proteins,P30260,UniProt:P30260 CDC27
Proteins,Q9UM13,UniProt:Q9UM13 ANAPC10
Proteins,Q9UJX3,UniProt:Q9UJX3 ANAPC7
Proteins,Q9UJX6,UniProt:Q9UJX6 ANAPC2
Proteins,Q13164,UniProt:Q13164 MAPK7
Proteins,Q15349,UniProt:Q15349 RPS6KA2
Proteins,Q15418,UniProt:Q15418 RPS6KA1
Proteins,P51812,UniProt:P51812 RPS6KA3
Proteins,P05412,UniProt:P05412 JUN
Proteins,P01100,UniProt:P01100 FOS
Proteins,Q96KQ7,UniProt:Q96KQ7 EHMT2
Proteins,Q9H9B1,UniProt:Q9H9B1 EHMT1
Proteins,P84243,UniProt:P84243 H3-3A
Proteins,P68431,UniProt:P68431 H3C1
Proteins,Q71DI3,UniProt:Q71DI3 H3C15
Proteins,Q16270,UniProt:Q16270 IGFBP7
Proteins,P05231,UniProt:P05231 IL6
Proteins,P19838,UniProt:P19838 NFKB1
Proteins,Q04206,UniProt:Q04206 RELA
Proteins,O95231,UniProt:O95231 VENTX
Proteins,P40763,UniProt:P40763 STAT3
Proteins,P01583,UniProt:P01583 IL1A
Proteins,P10145,UniProt:P10145 CXCL8
Proteins,O75530,UniProt:O75530 EED
Proteins,Q15910,UniProt:Q15910 EZH2
Proteins,P46734,UniProt:P46734 MAP2K3
Proteins,P52564,UniProt:P52564 MAP2K6
Proteins,Q9UKE5,UniProt:Q9UKE5 TNIK
Proteins,O95819,UniProt:O95819 MAP4K4
Proteins,Q8N4C8,UniProt:Q8N4C8 MINK1
Proteins,O15054,UniProt:O15054 KDM6B
Proteins,P01574,UniProt:P01574 IFNB1
Proteins,P53779,UniProt:P53779 MAPK10
Proteins,P45983,UniProt:P45983 MAPK8
Proteins,P45984,UniProt:P45984 MAPK9
Proteins,Q16539,UniProt:Q16539 MAPK14
Proteins,Q15759,UniProt:Q15759 MAPK11
Proteins,Q16644,UniProt:Q16644 MAPKAPK3
Proteins,P49137,UniProt:P49137 MAPKAPK2
Proteins,Q8IW41,UniProt:Q8IW41 MAPKAPK5
Proteins,Q15022,UniProt:Q15022 SUZ12
Proteins,O14733,UniProt:O14733 MAP2K7
Proteins,P45985,UniProt:P45985 MAP2K4
Proteins,P35226,UniProt:P35226 BMI1
Proteins,Q96GD3-2,UniProt:Q96GD3-2 SCMH1
Proteins,Q99496,UniProt:Q99496 RNF2
Proteins,Q06587,UniProt:Q06587 RING1
Proteins,P78364,UniProt:P78364 PHC1
Proteins,Q8NDX5,UniProt:Q8NDX5 PHC3
Proteins,Q8IXK0,UniProt:Q8IXK0 PHC2
Proteins,Q14781,UniProt:Q14781 CBX2
Proteins,Q9HC52,UniProt:Q9HC52 CBX8
Proteins,O00257,UniProt:O00257 CBX4
Proteins,O95503,UniProt:O95503 CBX6
Proteins,Q16576,UniProt:Q16576 RBBP7
Proteins,Q09028,UniProt:Q09028 RBBP4
Proteins,Q99683,UniProt:Q99683 MAP3K5
Proteins,P10599,UniProt:P10599 TXN
