Top 100 Degree,Valida,OutPut,,Top 100 BottleNeck,Valida,OutPut,,UNIFICADO,,https://www.youtube.com/watch?v=Bk6O5Hud1bQ
TP53,Degree,BottleNeck,,TP53,BottleNeck,Degree,,TP53,,
MYC,Degree,BottleNeck,,MYC,BottleNeck,Degree,,MYC,,
JUN,Degree,BottleNeck,,IL6,BottleNeck,Degree,,JUN,,
CDKN2A,Degree,No esta en BottleNeck,,UBB,BottleNeck,Degree,,CDKN2A,,
CDK1,Degree,BottleNeck,,CDKN1A,BottleNeck,Degree,,CDK1,,
CDK2,Degree,BottleNeck,,CCNA2,BottleNeck,Degree,,CDK2,,
CCND1,Degree,No esta en BottleNeck,,CDK1,BottleNeck,Degree,,CCND1,,
H3-4,Degree,BottleNeck,,VDAC1,BottleNeck,No esta en Degree,,H3-4,,
CCNB1,Degree,BottleNeck,,AKT1,BottleNeck,Degree,,CCNB1,,
RB1,Degree,No esta en BottleNeck,,RBBP4,BottleNeck,Degree,,RB1,,
CCNA2,Degree,No esta en BottleNeck,,H3-4,BottleNeck,Degree,,CCNA2,,
EZH2,Degree,BottleNeck,,UBC,BottleNeck,Degree,,EZH2,,
AKT1,Degree,No esta en BottleNeck,,PIK3CB,BottleNeck,No esta en Degree,,AKT1,,
CDK4,Degree,No esta en BottleNeck,,MAPK3,BottleNeck,Degree,,CDK4,,
CCNA1,Degree,No esta en BottleNeck,,MAPKAPK2,BottleNeck,No esta en Degree,,CCNA1,,
H2AX,Degree,BottleNeck,,KAT5,BottleNeck,Degree,,H2AX,,
PTEN,Degree,BottleNeck,,SLC25A4,BottleNeck,No esta en Degree,,PTEN,,
MAPK14,Degree,No esta en BottleNeck,,MAPK8,BottleNeck,Degree,,MAPK14,,
CDKN1A,Degree,No esta en BottleNeck,,RELA,BottleNeck,Degree,,CDKN1A,,
H2BC21,Degree,No esta en BottleNeck,,CHEK1,BottleNeck,Degree,,H2BC21,,
ATM,Degree,No esta en BottleNeck,,TRPV4,BottleNeck,No esta en Degree,,ATM,,
NFKB1,Degree,BottleNeck,,JUN,BottleNeck,Degree,,NFKB1,,
UBC,Degree,No esta en BottleNeck,,PTEN,BottleNeck,Degree,,UBC,,
BMI1,Degree,No esta en BottleNeck,,RBBP7,BottleNeck,Degree,,BMI1,,
FOS,Degree,No esta en BottleNeck,,CCNB1,BottleNeck,Degree,,FOS,,
RPS27A,Degree,No esta en BottleNeck,,HIPK3,BottleNeck,No esta en Degree,,RPS27A,,
H2BC5,Degree,No esta en BottleNeck,,CDK2,BottleNeck,Degree,,H2BC5,,
H2BC12,Degree,No esta en BottleNeck,,CEBPB,BottleNeck,Degree,,H2BC12,,
H2BC3,Degree,No esta en BottleNeck,,ANAPC1,BottleNeck,No esta en Degree,,H2BC3,,
SIRT1,Degree,No esta en BottleNeck,,HLA-G,BottleNeck,No esta en Degree,,SIRT1,,
H2BC4,Degree,No esta en BottleNeck,,H2AX,BottleNeck,Degree,,H2BC4,,
H2AC20,Degree,No esta en BottleNeck,,DNAJC7,BottleNeck,No esta en Degree,,H2AC20,,
H2BC14,Degree,No esta en BottleNeck,,UBA52,BottleNeck,Degree,,H2BC14,,
H2AC18,Degree,No esta en BottleNeck,,H2BC15,BottleNeck,Degree,,H2AC18,,
H2BC17,Degree,No esta en BottleNeck,,H2AB1,BottleNeck,Degree,,H2BC17,,
UBA52,Degree,No esta en BottleNeck,,UBE2D1,BottleNeck,No esta en Degree,,UBA52,,
E2F1,Degree,BottleNeck,,TXN,BottleNeck,No esta en Degree,,E2F1,,
H2BC13,Degree,No esta en BottleNeck,,MAP2K6,BottleNeck,No esta en Degree,,H2BC13,,
H2BC11,Degree,No esta en BottleNeck,,PPP1CB,BottleNeck,No esta en Degree,,H2BC11,,
H2BC9,Degree,No esta en BottleNeck,,SLC25A5,BottleNeck,No esta en Degree,,H2BC9,,
H2BC1,Degree,No esta en BottleNeck,,EHMT2,BottleNeck,Degree,,H2BC1,,
CDKN1B,Degree,BottleNeck,,SUZ12,BottleNeck,Degree,,CDKN1B,,
RBBP4,Degree,No esta en BottleNeck,,CDC16,BottleNeck,No esta en Degree,,RBBP4,,
STAT3,Degree,No esta en BottleNeck,,SLC25A6,BottleNeck,No esta en Degree,,STAT3,,
H2BC15,Degree,No esta en BottleNeck,,MAP2K7,BottleNeck,No esta en Degree,,H2BC15,,
IL6,Degree,No esta en BottleNeck,,EZH2,BottleNeck,Degree,,IL6,,
UBB,Degree,No esta en BottleNeck,,ANAPC11,BottleNeck,No esta en Degree,,UBB,,
H2AC14,Degree,No esta en BottleNeck,,SP1,BottleNeck,Degree,,H2AC14,,
H2AZ2,Degree,No esta en BottleNeck,,MAPK11,BottleNeck,Degree,,H2AZ2,,
MDM2,Degree,No esta en BottleNeck,,MAPK9,BottleNeck,No esta en Degree,,MDM2,,
H2AC7,Degree,No esta en BottleNeck,,TNRC6C,BottleNeck,Degree,,H2AC7,,
H2AC6,Degree,No esta en BottleNeck,,RAF1,BottleNeck,No esta en Degree,,H2AC6,,
MAPK3,Degree,No esta en BottleNeck,,EED,BottleNeck,Degree,,MAPK3,,
RNF2,Degree,BottleNeck,,FOXO3,BottleNeck,Degree,,RNF2,,
EHMT2,Degree,No esta en BottleNeck,,MAP2K4,BottleNeck,No esta en Degree,,EHMT2,,
MAPK11,Degree,No esta en BottleNeck,,EIF4EBP1,BottleNeck,No esta en Degree,,MAPK11,,
FOXO3,Degree,No esta en BottleNeck,,CACNA1D,BottleNeck,No esta en Degree,,FOXO3,,
CHEK2,Degree,No esta en BottleNeck,,CCNE2,BottleNeck,No esta en Degree,,CHEK2,,
RELA,Degree,No esta en BottleNeck,,E2F1,BottleNeck,Degree,,RELA,,
RING1,Degree,BottleNeck,,CAPN1,BottleNeck,No esta en Degree,,RING1,,
CCNE1,Degree,No esta en BottleNeck,,ETS2,BottleNeck,No esta en Degree,,CCNE1,,
MAPK8,Degree,No esta en BottleNeck,,GATA4,BottleNeck,No esta en Degree,,MAPK8,,
SUZ12,Degree,No esta en BottleNeck,,E2F2,BottleNeck,No esta en Degree,,SUZ12,,
MAPK1,Degree,BottleNeck,,ZFP36L2,BottleNeck,No esta en Degree,,MAPK1,,
H2AJ,Degree,No esta en BottleNeck,,CAPN2,BottleNeck,No esta en Degree,,H2AJ,,
CDK6,Degree,No esta en BottleNeck,,HMGA2,BottleNeck,No esta en Degree,,CDK6,,
CEBPB,Degree,No esta en BottleNeck,,RNF2,BottleNeck,Degree,,CEBPB,,
AGO1,Degree,No esta en BottleNeck,,HMGA1,BottleNeck,No esta en Degree,,ago-01,,
RBBP7,Degree,No esta en BottleNeck,,VENTX,BottleNeck,No esta en Degree,,RBBP7,,
H2AB1,Degree,No esta en BottleNeck,,RASSF5,BottleNeck,No esta en Degree,,H2AB1,,
CBX8,Degree,No esta en BottleNeck,,H1-5,BottleNeck,No esta en Degree,,CBX8,,
CBX2,Degree,No esta en BottleNeck,,H1-1,BottleNeck,No esta en Degree,,CBX2,,
CHEK1,Degree,No esta en BottleNeck,,AKT3,BottleNeck,No esta en Degree,,CHEK1,,
PHC3,Degree,BottleNeck,,H1-4,BottleNeck,No esta en Degree,,PHC3,,
CBX4,Degree,No esta en BottleNeck,,AGO3,BottleNeck,Degree,,CBX4,,
AGO3,Degree,No esta en BottleNeck,,RAD9A,BottleNeck,No esta en Degree,,ago-03,,
PHC1,Degree,BottleNeck,,CBX6,BottleNeck,No esta en Degree,,PHC1,,
AGO4,Degree,No esta en BottleNeck,,H1-3,BottleNeck,No esta en Degree,,ago-04,,
MTOR,Degree,No esta en BottleNeck,,TFDP2,BottleNeck,No esta en Degree,,MTOR,,
TNRC6C,Degree,No esta en BottleNeck,,H1-2,BottleNeck,No esta en Degree,,TNRC6C,,
MOV10,Degree,No esta en BottleNeck,,PHC3,BottleNeck,Degree,,MOV10,,
TNRC6B,Degree,No esta en BottleNeck,,MCU,BottleNeck,No esta en Degree,,TNRC6B,,
TNRC6A,Degree,No esta en BottleNeck,,MAPK1,BottleNeck,Degree,,TNRC6A,,
CDC25A,Degree,No esta en BottleNeck,,VDAC2,BottleNeck,No esta en Degree,,CDC25A,,
KDM6B,Degree,No esta en BottleNeck,,CDKN2D,BottleNeck,No esta en Degree,,KDM6B,,
PHC2,Degree,No esta en BottleNeck,,TSC2,BottleNeck,No esta en Degree,,PHC2,,
UBE2C,Degree,No esta en BottleNeck,,VDAC3,BottleNeck,No esta en Degree,,UBE2C,,
EED,Degree,No esta en BottleNeck,,EP400,BottleNeck,No esta en Degree,,EED,,
TGFB1,Degree,BottleNeck,,TGFB1,BottleNeck,Degree,,TGFB1,,
CDC27,Degree,No esta en BottleNeck,,PHC1,BottleNeck,Degree,,CDC27,,
EHMT1,Degree,No esta en BottleNeck,,SERPINE1,BottleNeck,No esta en Degree,,EHMT1,,
KAT5,Degree,No esta en BottleNeck,,H1-0,BottleNeck,Degree,,KAT5,,
H1-0,Degree,No esta en BottleNeck,,ETS1,BottleNeck,No esta en Degree,,H1-0,,
SMAD2,Degree,No esta en BottleNeck,,NFKB1,BottleNeck,Degree,,SMAD2,,
PIK3CA,Degree,No esta en BottleNeck,,MAPKAPK3,BottleNeck,No esta en Degree,,PIK3CA,,
TFDP1,Degree,No esta en BottleNeck,,CDKN1B,BottleNeck,Degree,,TFDP1,,
FZR1,Degree,No esta en BottleNeck,,RING1,BottleNeck,Degree,,FZR1,,
FOXO1,Degree,No esta en BottleNeck,,H3C15,BottleNeck,No esta en Degree,,FOXO1,,
SP1,Degree,No esta en BottleNeck,,H4C1,BottleNeck,No esta en Degree,,SP1,,
MAP2K1,Degree,No esta en BottleNeck,,TGFB3,BottleNeck,No esta en Degree,,MAP2K1,,
,,,,,,,,VDAC1,,
,,,,,,,,PIK3CB,,
,,,,,,,,MAPKAPK2,,
,,,,,,,,SLC25A4,,
,,,,,,,,TRPV4,,
,,,,,,,,HIPK3,,
,,,,,,,,ANAPC1,,
,,,,,,,,HLA-G,,
,,,,,,,,DNAJC7,,
,,,,,,,,UBE2D1,,
,,,,,,,,TXN,,
,,,,,,,,MAP2K6,,
,,,,,,,,PPP1CB,,
,,,,,,,,SLC25A5,,
,,,,,,,,CDC16,,
,,,,,,,,SLC25A6,,
,,,,,,,,MAP2K7,,
,,,,,,,,ANAPC11,,
,,,,,,,,MAPK9,,
,,,,,,,,RAF1,,
,,,,,,,,MAP2K4,,
,,,,,,,,EIF4EBP1,,
,,,,,,,,CACNA1D,,
,,,,,,,,CCNE2,,
,,,,,,,,CAPN1,,
,,,,,,,,ETS2,,
,,,,,,,,GATA4,,
,,,,,,,,E2F2,,
,,,,,,,,ZFP36L2,,
,,,,,,,,CAPN2,,
,,,,,,,,HMGA2,,
,,,,,,,,HMGA1,,
,,,,,,,,VENTX,,
,,,,,,,,RASSF5,,
,,,,,,,,H1-5,,
,,,,,,,,H1-1,,
,,,,,,,,AKT3,,
,,,,,,,,H1-4,,
,,,,,,,,RAD9A,,
,,,,,,,,CBX6,,
,,,,,,,,H1-3,,
,,,,,,,,TFDP2,,
,,,,,,,,H1-2,,
,,,,,,,,MCU,,
,,,,,,,,VDAC2,,
,,,,,,,,CDKN2D,,
,,,,,,,,TSC2,,
,,,,,,,,VDAC3,,
,,,,,,,,EP400,,
,,,,,,,,SERPINE1,,
,,,,,,,,ETS1,,
,,,,,,,,MAPKAPK3,,
,,,,,,,,H3C15,,
,,,,,,,,H4C1,,
,,,,,,,,TGFB3,,
